,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__solver,param_vect__max_df,param_vect__min_df,param_vect__norm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
67,0.4827224016189575,0.041140198707580566,0.10613131523132324,0.002217531204223633,0.1,newton-cg,0.8,1,l2,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.7692307692307693,0.7480769230769231,0.7586538461538461,0.010576923076923095,105
68,0.23968875408172607,0.03426635265350342,0.11458110809326172,0.011429786682128906,0.1,newton-cg,0.8,3,l1,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.6257692307692307,0.6038461538461538,0.6148076923076923,0.010961538461538467,137
69,0.25159263610839844,0.026311874389648438,0.10940182209014893,0.005481123924255371,0.1,newton-cg,0.8,3,l2,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7746153846153846,0.7492307692307693,0.7619230769230769,0.01269230769230767,99
70,0.19111227989196777,0.010538339614868164,0.09631669521331787,0.004486203193664551,0.1,newton-cg,0.8,5,l1,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.6542307692307693,0.6384615384615384,0.6463461538461539,0.007884615384615434,129
71,0.2118983268737793,0.007696628570556641,0.10508787631988525,0.0022715330123901367,0.1,newton-cg,0.8,5,l2,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7653846153846153,0.7388461538461538,0.7521153846153845,0.013269230769230755,123
72,0.8264356851577759,0.03248870372772217,0.12090718746185303,0.0027428865432739258,1.0,lbfgs,0.6,1,l1,"{'clf__C': 1, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.765,0.7457692307692307,0.7553846153846153,0.009615384615384637,117
73,1.1367064714431763,0.17759430408477783,0.13265478610992432,0.0137711763381958,1.0,lbfgs,0.6,1,l2,"{'clf__C': 1, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.818076923076923,0.7942307692307692,0.8061538461538461,0.011923076923076925,35
74,0.33752989768981934,0.002737283706665039,0.11545157432556152,0.0060787200927734375,1.0,lbfgs,0.6,3,l1,"{'clf__C': 1, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.78,0.7519230769230769,0.7659615384615385,0.014038461538461555,93
75,0.4467369318008423,0.013078570365905762,0.11302006244659424,0.007943511009216309,1.0,lbfgs,0.6,3,l2,"{'clf__C': 1, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.8165384615384615,0.7938461538461539,0.8051923076923078,0.01134615384615384,41
76,0.3017083406448364,0.012040495872497559,0.10689759254455566,0.001508951187133789,1.0,lbfgs,0.6,5,l1,"{'clf__C': 1, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7711538461538462,0.7434615384615385,0.7573076923076923,0.013846153846153841,111
